arm,policy,true_positive,false_positive,false_negative,true_negative,precision,recall,fp_safety_risk,fp_inauthentic,fp_sophisticated,fp_mismatch_only,human_review_rate,probe_rate,total_cost,mean_cost
misspecified,v0_threshold,660,85,25,830,0.8859060402684564,0.9635036496350365,5,79,79,1,0.06,0.146875,-3200.0,-2.0
misspecified,v0_expected_cost,633,75,52,840,0.8940677966101694,0.9240875912408759,0,73,73,2,0.003125,0.08125,-4675.0,-2.921875
misspecified,engagement_baseline,533,610,152,305,0.4663167104111986,0.7781021897810219,56,191,111,372,0.0,0.0,16610.0,10.38125
oracle,v0_threshold,665,86,20,829,0.8854860186418109,0.9708029197080292,5,80,80,1,0.056875,0.145625,-3297.0,-2.060625
oracle,v0_expected_cost,656,83,29,832,0.8876860622462788,0.9576642335766423,2,79,78,2,0.0,0.031875,-4469.0,-2.793125
oracle,engagement_baseline,533,610,152,305,0.4663167104111986,0.7781021897810219,56,191,111,372,0.0,0.0,16610.0,10.38125
